customer_id,first_name,last_name,email,phone,tier_id,join_date,birth_date,newsletter_opt_in,notes,zip_code,referral_source,email_campaign_aug2023,loyalty_prompt_2024,upgrade_offer_sent
50,Grace,Rogers,grace.rogers@email.com,202-555-3030,1.0,2024-06-12,1989-02-23,True,,20852,event,,,False
36,Ethan,Walker,ethan.walker@email.com,202-555-3016,3.0,2023-05-20,1994-01-18,False,,22301,walk_by,,,True
44,Lauren,Silva,lauren.silva@email.com,202-555-3024,3.0,2023-07-09,2000-11-12,True,,20008,friend_referral,,,True
41,Julia,Harrison,julia.harrison@email.com,202-555-3021,2.0,2023-07-18,1999-10-04,False,,22304,event,,,True
23,Diana,Sullivan,diana.sullivan@email.com,202-555-3003,4.0,2023-08-05,2002-04-20,False,,20036,yelp,,,True
33,Daniel,Torres,daniel.torres@email.com,202-555-3013,4.0,2023-08-28,1994-08-22,False,,20005,friend_referral,,,True
61,Carmen,Wells,carmen.wells@email.com,202-555-3041,4.0,2023-10-07,1992-05-06,False,,20017,instagram,,,True
48,Vivian,Rivera,vivian.rivera@email.com,202-555-3028,3.0,2023-10-22,1987-09-17,False,,20007,yelp,,,True
28,Nathan,Myers,nathan.myers@email.com,202-555-3008,2.0,2023-11-03,1965-03-01,False,,20017,friend_referral,,,True
24,William,Hunter,william.hunter@email.com,202-555-3004,3.0,2023-11-03,1982-04-05,True,,22301,friend_referral,,,True
49,Madison,Simmons,madison.simmons@email.com,202-555-3029,2.0,2024-07-17,1980-07-01,False,,20817,walk_by,,,True
51,Oliver,Murphy,oliver.murphy@email.com,202-555-3031,3.0,2023-11-06,1992-06-02,True,,,yelp,,,True
102,Thomas,Harrison,thomas.harrison@email.com,202-555-3082,,2023-07-25,2005-05-09,False,,20007,walk_by,,not_prompted,False
85,Rachel,Wilson,rachel.wilson@email.com,202-555-3065,,2023-10-01,1994-04-12,True,,20015,google,,prompted,True
124,Mason,Miller,mason.miller@email.com,202-555-3104,,2024-02-14,1988-04-16,True,,22301,friend_referral,,not_prompted,False
127,Ariana,Cooper,ariana.cooper@email.com,202-555-3107,,2023-07-27,1982-07-08,True,,20003,friend_referral,,not_prompted,False
114,Joshua,Jackson,joshua.jackson@email.com,202-555-3094,2.0,2023-05-13,1967-03-11,True,,20018,friend_referral,,,True
113,Mason,Hamilton,mason.hamilton@email.com,202-555-3093,1.0,2023-10-12,1984-05-21,False,,22302,instagram,,not_prompted,True
107,Liam,Flores,liam.flores@email.com,202-555-3087,4.0,2023-05-11,1960-06-04,False,,22302,friend_referral,,,True
115,Megan,Nelson,megan.nelson@email.com,202-555-3095,1.0,2023-05-18,1995-01-08,True,,22301,yelp,,prompted,True
72,Yasmin,Jenkins,yasmin.jenkins@email.com,202-555-3052,1.0,2023-06-08,1961-07-17,False,,22302,walk_by,,not_prompted,True
123,Jesse,Shaw,jesse.shaw@email.com,202-555-3103,2.0,2023-06-25,1999-07-20,True,,22202,walk_by,,not_prompted,True
112,Ruby,Phillips,ruby.phillips@email.com,202-555-3092,3.0,2023-07-16,1970-01-27,False,,22203,yelp,,,True
104,Mason,Cook,mason.cook@email.com,202-555-3084,1.0,2023-08-02,1995-10-01,False,,20016,walk_by,,not_prompted,True
86,Sophia,Sullivan,sophia.sullivan@email.com,202-555-3066,1.0,2023-08-15,1997-01-25,True,,20815,walk_by,,prompted,True
99,Jocelyn,Lane,jocelyn.lane@email.com,202-555-3079,2.0,2023-09-09,1986-06-26,True,,20001,friend_referral,,prompted,True
91,David,Jackson,david.jackson@email.com,202-555-3071,3.0,2023-09-14,1973-06-07,False,,20015,yelp,,,True
106,Grant,Sanchez,grant.sanchez@email.com,202-555-3086,2.0,2023-09-08,1987-12-05,True,,22202,yelp,,,True
119,Matthew,Ellis,matthew.ellis@email.com,202-555-3099,2.0,2023-10-16,1992-05-26,True,,20010,event,,,True
100,Thomas,Cook,thomas.cook@email.com,202-555-3080,3.0,2023-11-06,1968-12-17,True,,20002,friend_referral,,,True
93,Aria,Wood,aria.wood@email.com,202-555-3073,2.0,2023-11-10,1964-03-14,True,,20008,walk_by,,,True
